Name,Age,Birth Year,Origin,Height,Weight,Category,Wins,Losses,Special Skills,Weapon of Choice,Patron Wealth,Equipment Quality,Public Favor,Injury History,Mental Resilience,Diet and Nutrition,Tactical Knowledge,Allegiance Network,Battle Experience,Psychological Profile,Health Status,Personal Motivation,Previous Occupation,Training Intensity,Battle Strategy,Social Standing,Crowd Appeal Techniques,Survived
Aulus Afranius,33,17,Germania,185,108,Murmillo,5,2,Novice,Gladius (Sword),High,Superior,0.48818452,Low,3.24462756,Excellent,Intermediate,Strong,7,Fearful,Excellent,Survival,Criminal,Medium,Balanced,Low,Intimidating,FALSE
Oppius Hortensius,40,10,Germania,180,87,Hoplomachus,12,5,Novice,Spear,Medium,Standard,0.664359369,Low,7.082261606,Adequate,Basic,Moderate,17,Calculative,Good,Survival,Laborer,Medium,Balanced,Low,Humble,TRUE
Quintus Messalla,30,20,Gaul,178,80,Retiarius,7,1,Novice,Net,Low,Basic,0.60619657,Low,1.031733482,Poor,Intermediate,Moderate,8,Calculative,Excellent,Glory,Criminal,Medium,Balanced,Medium,Intimidating,TRUE
Sextus Palpellius,31,19,Rome,182,93,Retiarius,7,1,Tactics,Net,Medium,Standard,0.610299645,Low,6.042532321,Adequate,Expert,Moderate,8,Calculative,Excellent,Freedom,Entertainer,Medium,Balanced,Low,Intimidating,TRUE
Fabrinius Considius,34,16,Germania,178,91,Secutor,13,1,Novice,Gladius (Sword),Low,Basic,1.008660687,High,4.307409922,Poor,Basic,Strong,14,Stoic,Good,Survival,Unemployed,Low,Aggressive,High,Flamboyant,TRUE
Maecilius Fabrinius,42,8,Greece,192,102,Secutor,8,0,Novice,Gladius (Sword),Low,Basic,0.904609614,Low,2.962791565,Poor,Basic,Strong,8,Stoic,Good,Survival,Laborer,Medium,Aggressive,Medium,Charismatic,TRUE
Naevius Ovidius,40,10,Greece,178,101,Secutor,9,1,Novice,Gladius (Sword),Medium,Standard,0.734631051,Low,6.485995551,Adequate,Intermediate,Strong,10,Stoic,Good,Freedom,Entertainer,Low,Balanced,High,Flamboyant,TRUE
Fundanus Tiberius,37,13,Greece,188,95,Murmillo,11,2,Agility,Dagger,Low,Basic,0.878019163,High,5.525793391,Poor,Expert,Strong,13,Stoic,Fair,Glory,Unemployed,Medium,Balanced,Medium,Humble,TRUE
Cassius Nonius,19,31,Thrace,179,77,Secutor,5,0,Agility,Gladius (Sword),Low,Basic,0.56378183,Low,4.60428999,Poor,Advanced,Moderate,5,Calculative,Excellent,Freedom,Laborer,High,Balanced,Low,Humble,TRUE
Burrienus Numerius,30,20,Greece,194,65,Hoplomachus,4,0,Novice,Spear,High,Superior,0.638360731,Low,6.339598433,Excellent,Basic,Strong,4,Fearful,Excellent,Glory,Laborer,Low,Balanced,High,Intimidating,TRUE
Lartius Albinius,28,22,Germania,166,110,Hoplomachus,5,0,Novice,Spear,High,Superior,0.593859011,Low,5.874782871,Excellent,Intermediate,Strong,5,Stoic,Excellent,Freedom,Laborer,Medium,Balanced,Medium,Humble,TRUE
Geminius Sempronius,19,31,Thrace,187,110,Retiarius,5,1,Endurance,Net,High,Superior,0.475186052,Low,8.571176733,Excellent,Advanced,Strong,6,Calculative,Excellent,Vengeance,Soldier,Medium,Aggressive,High,Intimidating,TRUE
Appius Nasidienus,18,32,Germania,188,68,Hoplomachus,1,0,Endurance,Spear,High,Superior,0.459109806,Low,7.116339938,Excellent,Advanced,Strong,1,Stoic,Excellent,Glory,Laborer,Medium,Balanced,Medium,Intimidating,FALSE
Caninius Aquillius,30,20,Gaul,156,118,Secutor,10,4,Novice,Gladius (Sword),Low,Basic,0.719837022,Low,4.14140281,Poor,Intermediate,Strong,14,Stoic,Excellent,Vengeance,Criminal,Medium,Balanced,Medium,Flamboyant,TRUE
Gabinius Hirrus,19,31,Gaul,184,86,Thraex,9,0,Speed,Sica (Curved Sword),High,Superior,0.921331736,High,3.874178603,Excellent,Expert,Strong,9,Stoic,Excellent,Glory,Laborer,Medium,Aggressive,High,Humble,TRUE
Servius Camillius,24,26,Greece,190,125,Secutor,8,1,Novice,Dagger,Medium,Standard,0.811681621,Low,5.465083035,Adequate,Intermediate,Strong,9,Aggressive,Excellent,Glory,Soldier,Medium,Aggressive,High,Humble,TRUE
Aulus Paternus,41,9,Thrace,166,85,Hoplomachus,8,5,Novice,Dagger,Low,Basic,0.526921926,Low,4.345886181,Poor,Basic,Moderate,13,Aggressive,Good,Glory,Entertainer,Low,Balanced,Low,Intimidating,TRUE
Lucretius Valerius,31,19,Germania,178,73,Secutor,3,0,Novice,Dagger,Low,Basic,0.626538647,Low,3.857212196,Poor,Intermediate,Moderate,3,Calculative,Excellent,Glory,Entertainer,Medium,Balanced,Medium,Humble,TRUE
Cosconius Avidius,34,16,Rome,160,122,Thraex,11,1,Novice,Sica (Curved Sword),High,Superior,0.829702338,Low,5.42300402,Excellent,Intermediate,Strong,12,Calculative,Excellent,Wealth,Criminal,Medium,Aggressive,High,Intimidating,FALSE
Julius Catilius,27,23,Numidia,166,64,Provocator,7,1,Speed,Dagger,Low,Basic,0.718988818,High,2.687136571,Poor,Advanced,Strong,8,Stoic,Good,Glory,Entertainer,Medium,Balanced,High,Humble,FALSE
Gracchus Hirrus,33,17,Gaul,190,90,Thraex,10,3,Novice,Sica (Curved Sword),Low,Basic,0.741214581,High,1.7554333,Poor,Intermediate,Strong,13,Stoic,Good,Survival,Entertainer,Medium,Aggressive,High,Flamboyant,TRUE
Pacilius Messalla,26,24,Rome,183,107,Murmillo,2,0,Tactics,Gladius (Sword),Low,Basic,0.655869935,Low,2.374162591,Poor,Advanced,Moderate,2,Stoic,Excellent,Survival,Criminal,Medium,Aggressive,Medium,Charismatic,FALSE
Considius Galerius,24,26,Numidia,170,63,Provocator,4,2,Agility,Dagger,Low,Basic,0.457996337,Low,4.225074809,Poor,Advanced,Moderate,6,Stoic,Excellent,Wealth,Criminal,High,Aggressive,Medium,Charismatic,FALSE
Furius Baebius,44,6,Thrace,186,67,Provocator,9,1,Novice,Gladius (Sword),Medium,Standard,0.704468782,Low,3.012309999,Adequate,Basic,Strong,10,Stoic,Good,Glory,Unemployed,Medium,Aggressive,Medium,Flamboyant,TRUE
Numonius Galerius,31,19,Greece,179,125,Murmillo,13,0,Novice,Dagger,Low,Basic,0.879451973,High,1.099764753,Poor,Intermediate,Strong,13,Calculative,Good,Survival,Entertainer,Low,Aggressive,Medium,Intimidating,TRUE
Caecilius Foslius,21,29,Rome,174,94,Provocator,2,0,Tactics,Gladius (Sword),Low,Basic,0.549857059,Low,5.824727764,Poor,Advanced,Moderate,2,Fearful,Excellent,Freedom,Laborer,Low,Aggressive,Medium,Intimidating,FALSE
Hortensius Festinius,34,16,Greece,168,53,Retiarius,5,0,Strength,Net,High,Superior,0.843780429,Low,5.806840423,Excellent,Expert,Strong,5,Calculative,Excellent,Survival,Entertainer,Medium,Defensive,High,Intimidating,TRUE
Latinius Cocceius,40,10,Germania,183,90,Secutor,10,3,Novice,Gladius (Sword),Low,Basic,0.781062387,High,0.915312548,Poor,Basic,Strong,13,Fearful,Fair,Survival,Entertainer,Low,Balanced,Medium,Charismatic,TRUE
Orchius Calpurnius,18,32,Greece,189,87,Retiarius,6,2,Speed,Net,Medium,Standard,0.558065474,Low,3.104904899,Adequate,Advanced,Moderate,8,Calculative,Excellent,Freedom,Soldier,High,Aggressive,Low,Intimidating,TRUE
Cominius Caecilius,36,14,Greece,173,98,Retiarius,11,2,Novice,Net,Low,Basic,0.81712361,Low,5.7072043,Poor,Basic,Strong,13,Fearful,Excellent,Vengeance,Laborer,Medium,Aggressive,Medium,Humble,TRUE
Livius Lucretius,20,30,Rome,186,81,Thraex,8,1,Novice,Dagger,Low,Basic,0.811968944,Low,3.979731303,Poor,Intermediate,Strong,9,Calculative,Excellent,Glory,Laborer,Medium,Aggressive,Medium,Intimidating,TRUE
Baebius Cornificius,42,8,Germania,195,77,Hoplomachus,6,0,Novice,Dagger,High,Superior,0.642301766,Low,0.959470448,Excellent,Basic,Strong,6,Aggressive,Good,Freedom,Laborer,Medium,Aggressive,Medium,Intimidating,TRUE
Lentulus Sextius,37,13,Gaul,175,75,Murmillo,8,1,Novice,Dagger,Medium,Standard,0.763424985,Low,6.318462786,Adequate,Basic,Strong,9,Aggressive,Good,Wealth,Laborer,Medium,Aggressive,Medium,Flamboyant,TRUE
Blossius Pettius,37,13,Germania,175,100,Retiarius,8,6,Novice,Net,Medium,Standard,0.44543009,Low,5.295155804,Adequate,Basic,Moderate,14,Aggressive,Good,Wealth,Entertainer,Low,Balanced,Low,Intimidating,TRUE
Mescinius Memmius,19,31,Gaul,170,83,Secutor,5,0,Novice,Gladius (Sword),Medium,Standard,0.660416178,Low,6.725504002,Adequate,Intermediate,Moderate,5,Calculative,Excellent,Freedom,Unemployed,Medium,Aggressive,Medium,Intimidating,TRUE
Egnatius Terentius,18,32,Germania,179,94,Hoplomachus,4,0,Tactics,Spear,Medium,Standard,0.654681594,Low,6.121258907,Adequate,Advanced,Moderate,4,Aggressive,Excellent,Survival,Entertainer,Medium,Balanced,Medium,Humble,TRUE
Hordeonius Numonius,41,9,Rome,170,81,Provocator,3,0,Novice,Dagger,Medium,Standard,0.582581649,Low,2.122488224,Adequate,Basic,Moderate,3,Fearful,Good,Glory,Entertainer,Medium,Balanced,Medium,Humble,TRUE
Licinius Catius,39,11,Germania,178,79,Thraex,9,4,Novice,Sica (Curved Sword),Low,Basic,0.660135103,Low,4.698412657,Poor,Basic,Moderate,13,Aggressive,Good,Glory,Criminal,Medium,Aggressive,Medium,Intimidating,TRUE
Lartius Mescinius,26,24,Germania,181,85,Secutor,3,0,Novice,Gladius (Sword),Medium,Standard,0.576588281,Low,8.437777554,Adequate,Intermediate,Moderate,3,Stoic,Excellent,Survival,Unemployed,Medium,Balanced,Medium,Charismatic,TRUE
Albinius Vibius,31,19,Greece,181,88,Retiarius,4,0,Agility,Net,Medium,Standard,0.527429896,Low,7.245642018,Adequate,Advanced,Moderate,4,Fearful,Excellent,Freedom,Criminal,Medium,Aggressive,Medium,Intimidating,TRUE
Laronius Aelius,27,23,Gaul,181,91,Thraex,7,2,Speed,Dagger,Low,Basic,0.643843836,Low,8.921457962,Poor,Advanced,Moderate,9,Fearful,Excellent,Glory,Entertainer,Low,Aggressive,Medium,Intimidating,TRUE
Pettius Pinarus,21,29,Thrace,173,57,Provocator,4,0,Agility,Dagger,High,Superior,0.67095529,Low,5.784731675,Excellent,Expert,Strong,4,Aggressive,Excellent,Freedom,Entertainer,Medium,Aggressive,High,Intimidating,TRUE
Ollius Laecanius,39,11,Rome,199,73,Retiarius,6,0,Novice,Trident,High,Superior,0.722528909,Low,2.825203013,Excellent,Basic,Strong,6,Stoic,Excellent,Survival,Criminal,Low,Aggressive,Low,Charismatic,TRUE
Mamilius Valerius,36,14,Greece,183,99,Secutor,4,1,Novice,Dagger,Medium,Standard,0.471310636,Low,2.747699756,Adequate,Basic,Moderate,5,Aggressive,Good,Glory,Criminal,Low,Balanced,Medium,Humble,TRUE
Cassius Cordius,18,32,Gaul,179,78,Murmillo,3,0,Novice,Dagger,High,Superior,0.509493055,Low,6.958066345,Excellent,Intermediate,Strong,3,Calculative,Excellent,Vengeance,Laborer,Medium,Balanced,High,Humble,TRUE
Cornelius Gracchus,18,32,Gaul,166,88,Provocator,3,0,Strength,Dagger,High,Superior,0.54364087,Low,10.15722474,Excellent,Expert,Strong,3,Stoic,Excellent,Survival,Laborer,High,Aggressive,High,Humble,TRUE
Norbanus Fabius,34,16,Greece,173,87,Hoplomachus,11,5,Novice,Dagger,Medium,Standard,0.691997298,Low,9.097416346,Adequate,Intermediate,Moderate,16,Stoic,Excellent,Vengeance,Unemployed,Medium,Aggressive,Low,Charismatic,TRUE
Bruttius Nasennius,45,5,Rome,172,83,Thraex,16,4,Novice,Dagger,Medium,Standard,0.762436374,High,1.82950629,Adequate,Basic,Strong,20,Fearful,Fair,Survival,Laborer,Low,Balanced,High,Charismatic,TRUE
Pedius Cestius,39,11,Greece,175,58,Murmillo,7,3,Novice,Dagger,High,Superior,0.575504746,Low,8.800627197,Excellent,Basic,Strong,10,Stoic,Excellent,Wealth,Criminal,Medium,Balanced,Medium,Humble,TRUE
Baebius Sulpicius,26,24,Gaul,161,76,Murmillo,8,2,Novice,Dagger,Low,Basic,0.793544447,Low,3.309879238,Poor,Intermediate,Strong,10,Stoic,Excellent,Freedom,Unemployed,Medium,Balanced,High,Intimidating,TRUE
Novellius Caedicius,37,13,Greece,196,57,Retiarius,8,3,Agility,Trident,High,Superior,0.682273603,Low,7.519442983,Excellent,Advanced,Strong,11,Stoic,Excellent,Wealth,Unemployed,Low,Balanced,High,Intimidating,TRUE
Iulius Ogulnius,30,20,Rome,193,75,Hoplomachus,5,1,Tactics,Dagger,Medium,Standard,0.7037179,Low,7.894909612,Adequate,Advanced,Strong,6,Stoic,Excellent,Freedom,Laborer,Medium,Balanced,Medium,Flamboyant,TRUE
Gracchus Albinius,27,23,Thrace,173,69,Provocator,4,0,Strength,Dagger,Low,Basic,0.60387672,Low,3.523137682,Poor,Advanced,Moderate,4,Aggressive,Excellent,Survival,Laborer,Medium,Aggressive,Medium,Humble,TRUE
Opellius Maecenas,28,22,Thrace,176,80,Murmillo,8,1,Tactics,Gladius (Sword),Low,Basic,0.710985088,Low,2.464850923,Poor,Expert,Strong,9,Fearful,Excellent,Glory,Laborer,Low,Aggressive,Medium,Flamboyant,TRUE
Icilius Minicius,23,27,Numidia,166,87,Murmillo,4,0,Agility,Gladius (Sword),Medium,Standard,0.581105264,Low,7.536794131,Adequate,Advanced,Moderate,4,Fearful,Excellent,Glory,Soldier,High,Aggressive,Medium,Charismatic,TRUE
Mamilius Petilius,19,31,Rome,174,79,Hoplomachus,2,0,Strength,Spear,Medium,Standard,0.462341555,Low,6.623965526,Adequate,Expert,Moderate,2,Aggressive,Excellent,Glory,Soldier,Medium,Balanced,Medium,Humble,FALSE
Iuventius Ennius,30,20,Thrace,169,71,Provocator,4,1,Novice,Dagger,High,Superior,0.610511253,Low,3.342721444,Excellent,Basic,Strong,5,Calculative,Excellent,Freedom,Criminal,Medium,Balanced,High,Charismatic,TRUE
Lucius Flavius,20,30,Thrace,170,73,Provocator,4,1,Novice,Gladius (Sword),Medium,Standard,0.513846233,Low,4.261872914,Adequate,Intermediate,Moderate,5,Stoic,Excellent,Survival,Soldier,Medium,Balanced,Low,Humble,FALSE
Pedius Ovidius,32,18,Rome,177,83,Hoplomachus,7,1,Novice,Spear,High,Superior,0.662444491,Low,5.023072069,Excellent,Intermediate,Strong,8,Calculative,Excellent,Survival,Unemployed,Medium,Balanced,High,Intimidating,TRUE
Marcus Cassius,39,11,Thrace,163,57,Thraex,8,1,Novice,Dagger,Medium,Standard,0.720133494,High,1.573406406,Adequate,Basic,Strong,9,Calculative,Fair,Glory,Entertainer,Low,Balanced,High,Humble,TRUE
Aulus Spurius,42,8,Rome,179,60,Retiarius,17,2,Novice,Trident,High,Superior,0.864649032,High,1.021819975,Excellent,Basic,Strong,19,Aggressive,Fair,Vengeance,Laborer,Medium,Balanced,Medium,Charismatic,TRUE
Nautius Nigidius,32,18,Greece,177,78,Hoplomachus,7,2,Agility,Spear,Low,Basic,0.667878666,Low,0.963338847,Poor,Advanced,Moderate,9,Calculative,Excellent,Vengeance,Unemployed,Medium,Balanced,Medium,Charismatic,FALSE
Cornelius Munatius,32,18,Germania,166,84,Hoplomachus,8,1,Novice,Spear,Low,Basic,0.757821829,Low,5.331907347,Poor,Intermediate,Strong,9,Fearful,Excellent,Glory,Unemployed,Low,Balanced,High,Intimidating,TRUE
Hostius Cilnius,27,23,Greece,193,80,Murmillo,7,1,Agility,Dagger,High,Superior,0.594580446,High,7.588282627,Excellent,Expert,Strong,8,Aggressive,Excellent,Survival,Entertainer,Medium,Aggressive,High,Charismatic,TRUE
Fabrinius Nautius,24,26,Gaul,172,106,Secutor,1,0,Agility,Dagger,Low,Basic,0.39222763,Low,6.430665858,Poor,Advanced,Weak,1,Aggressive,Excellent,Glory,Laborer,High,Aggressive,Medium,Charismatic,FALSE
Decentius Terentius,28,22,Numidia,171,93,Murmillo,10,4,Novice,Gladius (Sword),Medium,Standard,0.686946077,High,5.125055961,Adequate,Basic,Moderate,14,Fearful,Good,Survival,Unemployed,Low,Aggressive,Medium,Humble,TRUE
Latinius Cornelius,21,29,Thrace,184,80,Thraex,8,1,Speed,Sica (Curved Sword),Medium,Standard,0.795315349,High,6.531726635,Adequate,Advanced,Strong,9,Calculative,Excellent,Glory,Unemployed,Medium,Defensive,High,Flamboyant,TRUE
Paternus Publius,26,24,Germania,179,111,Hoplomachus,5,2,Endurance,Spear,Medium,Standard,0.555846075,Low,4.946566204,Adequate,Advanced,Moderate,7,Aggressive,Excellent,Survival,Laborer,Low,Aggressive,Medium,Humble,FALSE
Mucius Mallius,18,32,Greece,168,56,Hoplomachus,3,2,Novice,Spear,Low,Basic,0.546567926,Low,9.352480661,Poor,Intermediate,Moderate,5,Fearful,Excellent,Survival,Laborer,Medium,Aggressive,Low,Intimidating,FALSE
Memmius Cestius,32,18,Germania,179,62,Retiarius,12,6,Agility,Net,High,Superior,0.738383053,High,1.89979619,Excellent,Advanced,Strong,18,Fearful,Good,Freedom,Criminal,Medium,Aggressive,Medium,Humble,TRUE
Persius Agrippa,38,12,Thrace,168,56,Provocator,8,3,Novice,Dagger,High,Superior,0.618116544,Low,6.356322093,Excellent,Intermediate,Strong,11,Aggressive,Excellent,Freedom,Laborer,Low,Balanced,Low,Intimidating,TRUE
Burrienus Numonius,18,32,Thrace,174,47,Retiarius,4,1,Endurance,Trident,Low,Basic,0.513153574,Low,4.034638289,Poor,Advanced,Moderate,5,Stoic,Excellent,Wealth,Entertainer,High,Balanced,Medium,Charismatic,FALSE
Cicereius Iulius,41,9,Gaul,189,71,Retiarius,13,1,Novice,Trident,High,Superior,0.947426909,High,0.882769116,Excellent,Basic,Strong,14,Aggressive,Fair,Vengeance,Entertainer,Medium,Balanced,High,Flamboyant,TRUE
Didius Pacilius,36,14,Germania,170,86,Provocator,10,2,Novice,Gladius (Sword),Medium,Standard,0.760252131,Low,4.255884774,Adequate,Basic,Strong,12,Stoic,Excellent,Glory,Unemployed,Medium,Aggressive,High,Intimidating,TRUE
Laberius Fidenas,23,27,Greece,157,102,Hoplomachus,7,2,Speed,Dagger,Medium,Standard,0.682859763,Low,1.96987098,Adequate,Expert,Moderate,9,Fearful,Excellent,Vengeance,Entertainer,Medium,Balanced,Low,Humble,TRUE
Fidenas Nautius,41,9,Numidia,166,89,Provocator,11,1,Novice,Gladius (Sword),Low,Basic,1.067538693,Low,1.088733921,Poor,Basic,Strong,12,Stoic,Good,Freedom,Entertainer,Low,Balanced,High,Humble,TRUE
Servius Orestius,33,17,Greece,178,102,Secutor,9,0,Novice,Gladius (Sword),High,Superior,0.883292156,Low,5.060694871,Excellent,Intermediate,Strong,9,Aggressive,Excellent,Glory,Entertainer,Low,Balanced,Medium,Charismatic,TRUE
Matienus Blossius,43,7,Greece,190,77,Retiarius,9,1,Novice,Trident,Medium,Standard,0.940469182,Low,1.154110167,Adequate,Basic,Strong,10,Fearful,Good,Glory,Unemployed,Medium,Balanced,Medium,Flamboyant,TRUE
Numicius Claudius,33,17,Greece,170,83,Thraex,10,0,Novice,Sica (Curved Sword),Medium,Standard,0.927930265,Low,4.451972113,Adequate,Intermediate,Strong,10,Calculative,Excellent,Freedom,Criminal,Medium,Aggressive,Medium,Charismatic,TRUE
Lucretius Herennius,22,28,Thrace,184,48,Thraex,6,3,Speed,Dagger,High,Superior,0.550520278,Low,7.790982189,Excellent,Expert,Strong,9,Aggressive,Excellent,Survival,Laborer,Medium,Aggressive,Medium,Charismatic,TRUE
Memmius Cantilius,19,31,Germania,182,81,Retiarius,2,0,Novice,Trident,High,Superior,0.436072355,Low,7.084408058,Excellent,Basic,Strong,2,Aggressive,Excellent,Wealth,Soldier,Medium,Balanced,High,Charismatic,FALSE
Festinius Tiberius,21,29,Greece,159,65,Murmillo,3,1,Tactics,Dagger,High,Superior,0.515260384,Low,4.946746823,Excellent,Advanced,Strong,4,Fearful,Excellent,Glory,Unemployed,High,Balanced,Low,Humble,FALSE
Catilius Caecilius,18,32,Numidia,160,82,Murmillo,6,3,Tactics,Dagger,Low,Basic,0.477720803,Low,4.589437581,Poor,Advanced,Moderate,9,Stoic,Excellent,Survival,Soldier,High,Balanced,Medium,Intimidating,TRUE
Lollius Didius,31,19,Numidia,168,87,Thraex,9,2,Novice,Dagger,Medium,Standard,0.869069181,Low,2.199389842,Adequate,Intermediate,Strong,11,Calculative,Excellent,Glory,Entertainer,Low,Balanced,Low,Charismatic,TRUE
Ollius Lacerius,40,10,Greece,166,80,Secutor,7,1,Novice,Gladius (Sword),High,Superior,0.68084274,Low,0.888509214,Excellent,Basic,Strong,8,Calculative,Excellent,Vengeance,Laborer,Medium,Aggressive,Medium,Charismatic,TRUE
Norbanus Catius,38,12,Greece,178,68,Thraex,10,1,Novice,Dagger,High,Superior,0.770598589,Low,3.526101109,Excellent,Basic,Strong,11,Fearful,Excellent,Wealth,Unemployed,Medium,Balanced,High,Flamboyant,TRUE
Acilius Hordeonius,29,21,Rome,178,82,Hoplomachus,5,0,Tactics,Dagger,Low,Basic,0.546742376,Low,2.163307589,Poor,Advanced,Moderate,5,Aggressive,Excellent,Vengeance,Laborer,Medium,Balanced,Low,Humble,FALSE
Atilius Valerius,36,14,Greece,168,98,Murmillo,7,1,Novice,Dagger,Low,Basic,0.62886238,High,3.740010821,Poor,Intermediate,Moderate,8,Fearful,Fair,Wealth,Criminal,Medium,Aggressive,Low,Intimidating,TRUE
Caninius Percennius,37,13,Greece,167,80,Retiarius,6,2,Novice,Net,High,Superior,0.608396628,Low,2.607397949,Excellent,Basic,Strong,8,Aggressive,Excellent,Glory,Laborer,Medium,Balanced,High,Intimidating,TRUE
Nasidienus Nonius,36,14,Rome,177,77,Retiarius,7,2,Novice,Trident,Low,Basic,0.667554478,High,1.579976618,Poor,Intermediate,Moderate,9,Calculative,Fair,Wealth,Criminal,Medium,Aggressive,Medium,Charismatic,TRUE
Opellius Baebius,20,30,Greece,182,127,Murmillo,7,2,Strength,Gladius (Sword),Medium,Standard,0.740294436,Low,7.879399514,Adequate,Expert,Strong,9,Aggressive,Excellent,Freedom,Criminal,Low,Aggressive,Low,Flamboyant,TRUE
Munatius Cosconius,32,18,Gaul,179,86,Provocator,12,3,Endurance,Dagger,Medium,Standard,0.905213779,High,3.118770171,Adequate,Advanced,Strong,15,Calculative,Good,Wealth,Entertainer,Low,Balanced,Low,Intimidating,TRUE
Aquillius Cornificius,31,19,Thrace,192,58,Thraex,10,3,Tactics,Dagger,Medium,Standard,0.727988204,Low,6.878257688,Adequate,Advanced,Strong,13,Stoic,Excellent,Survival,Laborer,Low,Aggressive,High,Flamboyant,TRUE
Latinius Ennius,19,31,Germania,174,75,Thraex,4,1,Novice,Sica (Curved Sword),High,Superior,0.639226699,Low,6.919580175,Excellent,Intermediate,Strong,5,Stoic,Excellent,Glory,Soldier,High,Aggressive,High,Humble,TRUE
Ovidius Iuventius,36,14,Numidia,177,75,Hoplomachus,8,1,Novice,Dagger,High,Superior,0.714770664,Low,6.897984129,Excellent,Basic,Strong,9,Stoic,Excellent,Glory,Entertainer,Medium,Balanced,Medium,Charismatic,TRUE
Cominius Spurius,32,18,Rome,182,104,Hoplomachus,13,4,Novice,Dagger,Low,Basic,0.849387018,High,3.517084355,Poor,Intermediate,Strong,17,Fearful,Good,Survival,Criminal,Low,Balanced,High,Charismatic,TRUE
